region_code,region
20,Aldeburgh
35,Ambleside
50,Armagh
63,Atherstone
70,Axbridge
75,Bacup
84,
103,Barmouth
105,Barnet
108,
120,Beaconsfield
124,Beaworthy
157,Billingshurst
164,Bishop's Stortford
168,
170,Blaenau Ffestiniog
195,
222,Broadstone
250,Burnham-On-Crouch
262,Caernarfon
263,Caerphilly
290,
297,
306,Cheddar
325,Christchurch
329,
330,Clackmannan
358,
382,
384,
390,
431,Dorchester
447,Dumbarton
449,
475,Edinburgh
495,
499,
513,Ferryside
532,Freshwater
538,
560,Goodwick
571,Grays
591,
610,Hawes
621,Helensburgh
623,Helston
644,Hockley
645,Hoddesdon
661,Houghton Le Spring
665,Hull
710,Isle Of Scalpay
718,
726,Kelty
736,Kilbirnie
740,Kilmarnock
743,King's Lynn
746,Kingston Upon Thames
759,
766,Lairg
821,
858,
868,
874,
904,
906,
941,
967,
978,
1010,North Shields
1020,Nuneaton
1055,Pentre
1063,Peterhead
1107,Queenborough
1127,Richmond
1161,Saffron Walden
1164,Salford
1177,Sawbridgeworth
1186,
1196,
1212,Skegness
1221,Somerton
1243,St. Agnes
1263,Stevenage
1270,Stockton-On-Tees
1278,
1288,
1294,
1308,
1325,Tenbury Wells
1328,
1339,
1355,Tranent
1357,Trefriw
1363,Troon
1369,
1383,
1391,
1410,Wedmore
1465,Winkleigh
1475,Wokingham
1476,Wolverhampton
1515,Abbeystead
1517,Abbots Leigh
1519,
1535,Aberangell
1536,Aberarad
1541,Aberbargoed
1563,Aberfan
1587,
1590,
1614,Acaster Selby
1645,Acomb
1647,Aconbury
1675,Addingham
1690,
1701,Adversane
1731,Ahmor
1737,Aikton
1759,
1777,Alburgh
1823,
1829,
1837,
1840,
1842,
1869,
1899,
1906,
1957,
1958,
1966,
1976,
1979,
1988,
1992,
1993,
2000,Ampton
2009,
2036,Annesley
2042,Ansdell
2050,Ansty
2054,Anthorn
2055,Antingham
2067,Apley Park
2074,Applecross
2075,Appledore
2081,
2097,
2100,Archiestown
2119,
2138,
2176,Arlescot
2177,Arlescote
2199,
2209,
2211,Arrad Foot
2212,Arradoul
2213,Arram
2220,Arthingworth
2234,Asfordby Hill
2266,Ashby De La Launde
2281,
2300,Ashill
2308,
2316,Ashley
2326,Ashmore Green
2330,Ashow
2351,Ashurst
2378,
2395,
2406,Astol
2412,Aston
2476,Auchenblae
2507,Audley
2526,Aust
2535,Aveley
2537,Avening
2543,Avochie
2569,
2595,
2602,Backford
2604,Backwell
2607,Baconsthorpe
2662,Bainbridge
2679,
2680,
2699,
2758,
2768,
2789,
2795,
2818,
2850,
2865,
2880,
2909,
2921,
2934,
2941,
2948,
2950,
2960,
2970,
2973,
2982,
2993,
3003,Barton Seagrave
3018,
3028,
3030,Bassenthwaite
3032,Bassetts Pole
3036,Baston
3047,Bathingbourne
3077,Baxterley
3121,Bean
3128,
3135,Beaulieu
3138,
3171,Bedminster
3197,
3200,Beesby
3206,Beeston
3211,Beeston Regis
3226,Belan
3246,Bellanaleck
3255,Belleek
3264,Bellshill
3282,
3328,
3333,Bergh Apton
3341,Bermuda Park Industrial Estate
3344,Berners Roding
3369,
3386,
3409,
3431,Bewley Down
3451,Bickley
3474,Bidwell
3487,
3514,Billington
3524,Bilton
3525,Bilton
3534,Binegar
3540,Bingham
3572,Birchwood
3576,Birdingbury
3584,
3585,
3597,
3604,Birse
3642,Bishops Nympton
3659,
3668,
3671,Bissom
3700,Blackborough
3712,Blacker Hill
3720,Blackfordby
3731,Blackhill
3740,Blackmore End
3743,Blackney
3802,
3815,
3876,
3880,
3899,
3910,
3917,
3922,
3951,
3952,
3992,
4036,Booker
4039,
4061,Boresford
4066,Borough Green
4079,
4099,
4100,Boswell
4118,
4131,Boughton
4154,Bourton
4165,Bouthwaite
4184,
4201,Bowmore
4210,Bowsden
4214,Box
4217,Boxford
4286,
4309,
4324,Braemore
4331,Braidwood
4376,Bramshott Chase
4399,
4462,Breasclete
4487,
4499,
4511,Bretton
4513,Brevig
4522,Bridens Camp
4528,
4532,Bridge End
4580,
4584,
4599,
4614,Brindle
4645,Brithem Bottom
4659,
4665,Broad Oak
4671,Broadclyst
4688,
4689,
4692,
4723,Brockmoor
4736,Brokenborough
4740,Bromborough Pool
4749,
4807,
4824,
4827,
4871,
4878,
4895,
4954,
4965,
4966,
4982,
5001,Bucks Horn Oak
5049,
5057,Bunbury
5062,Bunnahabhain
5064,Buntingsdale
5072,Burcot
5144,Burnhill Green
5145,Burnhope
5147,Burniston
5158,
5160,Burnt Yates
5165,Burraton
5166,Burraton Coombe
5173,Burringham
5182,
5204,Burton Dassett
5210,Burton In Lonsdale
5226,Burwash
5231,Burwen
5232,Burwood
5238,
5240,Buscot Park
5247,Bushey Heath
5255,Busveal
5316,Cabus
5318,
5319,
5344,Caenby Cliff
5361,Caio
5366,Cairnie
5374,Calceby
5400,Caldwell
5402,Calenick
5415,Callow
5418,
5421,Calshot
5423,Calthorpe
5431,Calverleigh
5434,Calverton
5451,Cambusbarron
5453,Cambusmore
5471,Campsall
5511,Canwell
5547,Caprington
5559,
5579,
5612,Carlton
5627,Carluddon
5638,
5640,Carn Brea
5646,Carnbane Industrial Estate
5654,Carnkie
5675,Carrickabweehan
5688,
5701,Carrville
5762,Castle Rising
5781,
5805,
5807,
5814,
5815,
5831,
5866,
5868,
5936,
5937,
5959,
5965,
5967,
5977,
6002,Chapel Row
6004,Chapel Stile
6007,Chapelhay
6024,Chard Junction
6025,Chardstock
6035,Charlcutt
6038,
6056,Charlton
6059,
6080,
6081,
6093,
6116,Checkley
6161,Cheriton Bishop
6175,Chester Moor
6182,
6199,
6200,Chevington
6237,Childwickbury
6249,
6251,Chilsworthy
6272,Chippenham
6275,Chipping
6323,Chorlton Cum Hardy
6325,Choulton
6376,Churchinford
6391,
6407,Cippyn
6431,Clapham
6456,Clashmore
6477,Claxby Moor
6480,
6491,
6519,
6521,Cleatlam
6533,Cleeve Prior
6537,Cleish
6569,
6584,
6592,
6599,
6604,Clocaenog
6624,Cloonatumpher
6634,Clothall
6664,Cluny
6676,Clyffe Pypard
6683,
6700,Coalhall
6704,Coalport
6712,Coate
6721,Coberley Village
6735,Cocklake
6758,
6787,
6796,
6830,
6837,
6843,
6895,
6908,
6909,
6914,
6926,
6942,
6965,
7016,Coombe
7017,Coombe
7019,
7037,Cople
7044,Copplestone
7045,Coppull
7052,Copythorne
7055,Corby Glen
7063,Corfton
7065,Corgarff
7078,
7079,
7106,Corse
7117,Coryates
7142,Costow
7152,Cotgrave
7169,
7173,Cottenham
7188,
7197,
7231,Covington
7233,Cow Roast
7240,Cowden
7250,Cowlairs Industrial Estate
7257,Cowley
7266,Cox Bank
7268,
7275,Coxley Wick
7276,Coxlodge
7296,
7306,Craigahullier
7338,
7343,Crank
7357,Crapnell
7369,
7399,
7421,Crewe By Farndon
7436,Criftins
7454,Crockerton
7457,Crockey Hill
7463,Crockway
7482,
7498,
7512,Cropton
7521,Crosby-On-Eden
7532,Cross Hands
7554,Crossford
7556,Crossgar
7595,
7597,
7615,Croxby
7621,Croxteth
7631,Croyde
7641,Crumlin
7645,Crundale
7652,Crynant
7663,Cuckney
7678,
7698,
7744,Cushnie
7752,Cutthorpe
7755,Cutts Heath
7758,
7765,Cwm Dyserth
7767,Cwm Penmachno
7795,
7807,
7856,
7861,
7885,
7911,
7961,
7964,
7988,
8012,
8023,
8053,
8094,
8106,
8215,
8219,
8227,
8232,
8242,
8245,
8280,
8286,
8291,
8302,
8335,
8339,
8340,
8342,
8348,
8372,
8385,
8390,
8397,
8405,
8411,
8426,
8428,
8432,
8437,
8448,
8460,
8465,
8502,
8509,
8514,
8530,
8554,
8557,
8607,
8617,
8619,
8621,
8622,
8623,
8643,
8656,
8729,
8731,
8740,
8761,
8781,
8782,
8787,
8849,
8878,
8890,
8894,
8915,
8935,
8944,
8979,
8988,
9020,
9036,
9041,
9045,
9066,
9082,
9108,
9116,
9136,
9152,
9155,
9178,
9210,
9211,
9217,
9228,
9262,
9266,
9276,
9277,
9295,
9313,
9324,
9337,
9345,
9370,
9391,
9412,
9417,
9470,
9477,
9498,
9524,
9539,
9608,
9631,
9632,
9649,
9653,
9682,
9705,
9711,
9712,
9713,
9720,
9727,
9734,
9759,
9767,
9811,
9835,
9854,
9899,
9917,
9925,
9927,
9940,
9950,
9970,
9991,
10012,Five Ash Down
10026,Flaggoners Green
10027,Flakebridge
10067,Flixton
10113,Ford
10135,Fordham
10149,Forest
10160,Forest Moor
10191,Fortrie
10201,Fossebridge
10204,Fosters Booth
10223,Four Cross
10224,Four Crosses
10226,Four Elms
10235,Four Winds
10240,Fowlis
10313,Frenchay
10347,Friskney
10350,Fritchley
10402,Fulford
10438,Fyfield
10477,Gamblesby
10484,Gamston
10494,Garden Village
10500,Garenin
10552,Garvaghey
10577,Gatelawbridge
10579,Gatenby
