geo_lat,geo_long,postcode,rent_pcm,date_available,rmv_unique_link,estate_agent,estate_agent_address,image_links,floorplan_link,description
51.48405738439666,0.10223691188326357,SE17 3NE,2470.0,2020-02-11-20-14-59,68291016,Atkinson McLeod,"181-183 Kennington Lane, London, SE11 4EZ","['https://media.rightmove.co.uk/dir/41k/40104/68291016/40104_KNL200190_L_IMG_01_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/41k/40104/68291016/40104_KNL200190_L_IMG_02_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/41k/40104/68291016/40104_KNL200190_L_IMG_03_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/41k/40104/68291016/40104_KNL200190_L_IMG_04_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/41k/40104/68291016/40104_KNL200190_L_IMG_05_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/41k/40104/68291016/40104_KNL200190_L_IMG_06_0000_max_656x437.jpg']",,"

Letting information:







Furnishing:
Furnished


Added on Rightmove: 
11 February 2020 (2 hours ago)





Full description

        Atkinson McLeod is happy to present a new three bed in Kennington. Situated on Forsyth Gardens, a stones throw from Kennington Tube Northern Line Station. Split over two levels this three bed has bags of room and lends itself perfectly for professional shares looking for high spec for affordable rent. Three will sized rooms, all brand new furniture and carpets. Beautifully crafted brand new bathroom and kitchen which you will be the first to use. This flat also boasts a large garden. This one is very modestly prices and will fly off. Book your viewing now to maximise your chance of renting this Our Ref: KNL200190


"
51.48900793979718,0.08042463054292816,SE17 2LR,2396.3333333333335,2020-02-08-14-29-00,89255114,Cubix Estate Agents,"169 New Kent Road, London, SE1 4AG","['https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_01_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_00_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_02_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_03_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_04_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_05_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_06_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_07_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_08_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_09_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_10_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_11_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_12_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_13_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_14_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/120k/119137/89255114/119137_33Leysdown_IMG_15_0000_max_656x437.jpg']",,"

Letting information:







Date available:
15/02/2020


Furnishing:
Furnished


Added on Rightmove: 
08 February 2020 (3 days ago)





Key features

Finished to a high standard
Plenty of storage 
Minimum term 6 months
Tastefully furnished


Full description

Tenure: Leasehold

        This very well sized 3 bedroom split level flat will be available from late February. The flat has been furnished and finished to a very high standard. A fantastic amount of space throughout with great storage.  The living room and open plan kitchen include a dining area, breakfast bar with large double glazed windows which give off plenty of natural light.  When you make your way through the hallway you will find storage space before you head upstairs to 3 very good size bedrooms, bathroom with bathtub/shower, separate toilet and again with more storage.  Bills are not included in the monthly rent, however, the Council Tax for this property is £1,233 annually.  Contact Cubix today to arrange a viewing.  Open 7 days a week and happy to accommodate. 



Energy Performance Certificates (EPCs)
To view this media, please visit the on-line version of this page at www.rightmove.co.uk/property-to-rent/property-89255114.html

Download EPC for this property 


"
51.49294210300534,0.09005526540534721,SE17 1PE,Infinity,2020-02-06-10-00-03,68097180,Black Katz Ltd,"78 Borough High Street, London, SE1 1LL","['https://media.rightmove.co.uk/dir/50k/49784/68097180/49784_20889_IMG_01_0001_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/50k/49784/68097180/49784_20889_IMG_02_0001_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/50k/49784/68097180/49784_20889_IMG_03_0001_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/50k/49784/68097180/49784_20889_IMG_04_0001_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/50k/49784/68097180/49784_20889_IMG_05_0001_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/50k/49784/68097180/49784_20889_IMG_06_0001_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/50k/49784/68097180/49784_20889_IMG_07_0001_max_656x437.jpg']",,"

Letting information:







Date available:
Now


Reduced on Rightmove: 
06 February 2020 (5 days ago)





Full description

        Located in one of the most beautiful and desirable streets in Elephant and Castle. This stylish Georgian town house is arranged over three floors. Neutral decor throughout with plenty of character, larger than average rooms, high ceilings, gorgeous large reception room, wooden floors and a charming patio garden. For transport the property is located moments nbsp;from either Borough tube station (Northern Line) or Elephant and Castle Station (Bakerloo Line, Northern Line and overground). Trendy bars, restaurants and cafes within close walking distance include: - The Rockingham Arms  ndash; Weatherspoons pub with spacious interior - Nando rsquo;s  ndash; Spicy Afro-Portuguese chicken chain - Elephant  amp; Castle Pub  ndash; Modern pub with late opening on weekends - La Bodeguita  ndash; Traditional Colombian dishes  amp; Tapas - Toulouse Lautrec  ndash; Parisian style brasserie  amp; piano bar - Tai Tip Mein  ndash; Simple modern budget noodle bar - The Artworks Elephant  ndash; Pop-up complex with global street foods - Spit  amp; Sawdust  ndash; trendy bar/beer garden with good dining and traditional ales - McDonalds  ndash; fast food chain - KFC  ndash; Chicken fast food chain - Dominos pizza - Lebanese Grill - restaurant - Presidential Suya  ndash; Nigerian  amp; African cooking - Costa Azul  ndash; Mexican bar  amp; grill - Old Kent Fish  amp; Chips - Ice Cream Parlour - New Wing Fu  ndash; Chinese restaurant - Le Panier A Brioche  ndash; Bakers shop - Dunton Grill  amp; Spice - Halal Kebab shop - Lush Bar  ndash; African restaurant - Tic Internet cafe Other shops and amenities include: - Imperial War Museum  ndash; Military history exhibitions  amp; vehicles - Cinema Museum  ndash; Movie artefacts, memorabilia  amp; equipment - Kino Bermondsey  ndash; Single-screen independent cinema - Metropolitan Tabernacle  ndash; 17th Century church with a bookshop - Palace Superbowl  ndash; 26 lane bowling alley - Gym London Walworth - Lidl  ndash; Walworth branch - Miami Health Club - Gym - Tesco Superstore - Argos - Sports Direct - Post Office  ndash; Old Kent Road - Kwik Fit: car tyres, brakes and MOTs For schools and educational establishments please see the bottom section of this page. Within a stone #39;s throw you can stroll through the various green open spaces, including Bricklayers Arms Recreational Park with it rsquo;s own authentic Russian World War 2 tank. There are also Paragon Gardens as well as Victory Community Park and St Mary rsquo;s Churchyard nearby. A little further walk is Burgess Park with it rsquo;s period buildings, gardens, lake and tennis courts.A little history:Bricklayers Arms Recreational Park is situated just off the A2 on Mandela Way. This outside public space is renowned for having a World War 2 Soviet T-34 tank. It is a derelict and bizarre landmark that turns many a passing head. There is much speculation as to how this war machine ended up at this location. The story goes that a local resident was refused planning permission to build by Southwark Council. The legend has it that in 1995 the resident purchased the de-activated tank from a military salvage dealer in Kent for  pound;7,000. It was then placed on the now-derelict plot of land, with it rsquo;s gun pointing in the direction of the Southwark Council offices. Artist were allowed to paint the tank in more recent years. The T-34 tank was used to crush the Prague Spring revolution in August 1968. It was then brought to Britain from Czechoslovakia in the early 1990s and was used in filming scenes in Battersea for award winning film Richard III starring Ian Mc Kellen. The tank has been featured in the guide book Derelict London by Paul Talling


"
51.487895604394964,0.08940191657055556,SE17 2TP,2496.0,2020-01-29-09-13-22,76828480,Eden Harper ,"64 Battersea Park Road, London, SW11 4JP","['https://media.rightmove.co.uk/dir/68k/67498/76828480/67498_29397999_IMG_16_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/68k/67498/76828480/67498_29397999_IMG_26_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/68k/67498/76828480/67498_29397999_IMG_13_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/68k/67498/76828480/67498_29397999_IMG_17_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/68k/67498/76828480/67498_29397999_IMG_12_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/68k/67498/76828480/67498_29397999_IMG_22_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/68k/67498/76828480/67498_29397999_IMG_20_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/68k/67498/76828480/67498_29397999_IMG_08_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/68k/67498/76828480/67498_29397999_IMG_18_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/68k/67498/76828480/67498_29397999_IMG_15_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/68k/67498/76828480/67498_29397999_IMG_04_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/68k/67498/76828480/67498_29397999_IMG_11_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/68k/67498/76828480/67498_29397999_IMG_23_0000_max_656x437.jpg']",,"

Letting information:







Date available:
Now


Furnishing:
Part-furnished


Reduced on Rightmove: 
29 January 2020 (13 days ago)





Key features

Three Double Bedrooms
Victorian Terrace House
Two Bathrooms
Downstairs W.C
Private Garden
Ideal for Family or Professional Sharers
Excellent Transport Links
On Street Resident's Parking


Full description

        Substantial, beautifully presented period family house situated in highly sought after residential road ideally placed for Elephant and Castle which provides options for 3 major tube lines and quick access to Waterloo and the City. Accommodation comprises reception room, recently fitted large kitchen/dining room, downstairs W.C, large family bathroom, 3 good sized double bedrooms, 1 with en-suite. The house has retains lots of attractive period features throughout and an easy to manage garden with artificial grass. On Street Resident's parking. Ideally placed for varied choice of independent shops, cafes, supermarkets, bars and restaurants all only a short walk away. Available 4th February, would suit a family or professional sharers. Please contact us to arrange a viewing.



More information from this agent
To view this media, please visit the on-line version of this page at www.rightmove.co.uk/property-to-rent/property-76828480.html

Brochure

Trafalgar Street, London


Energy Performance Certificate (EPC) graphs


View EE Rating for this property
See full size version online


View EI Rating for this property
See full size version online


"
51.487895604394964,0.08940191657055556,SE17 2TP,2210.0,2020-01-17-20-15-05,67703916,Atkinson McLeod,"181-183 Kennington Lane, London, SE11 4EZ","['https://media.rightmove.co.uk/dir/41k/40104/67703916/40104_KNL200086_L_IMG_01_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/41k/40104/67703916/40104_KNL200086_L_IMG_02_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/41k/40104/67703916/40104_KNL200086_L_IMG_03_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/41k/40104/67703916/40104_KNL200086_L_IMG_04_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/41k/40104/67703916/40104_KNL200086_L_IMG_05_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/41k/40104/67703916/40104_KNL200086_L_IMG_06_0000_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/41k/40104/67703916/40104_KNL200086_L_IMG_07_0000_max_656x437.jpg']",,"

Letting information:







Added on Rightmove: 
17 January 2020 (25 days ago)





Full description

        Perfect for professional sharers. The property has 3 double bedrooms, with an abundance of storage. Ample space throughout, with a large fully fitted kitchen and dining room, separate lounge for watching TV, and a family sized bathroom and a seperate shower !Access to a private garden makes this a perfect home for those who like entertaining. The property is located on a leafy street, a stone’s throw from Burgess Park. In perfect condition, this property will be snapped up quick. Book a viewing today! Call Atkinson mcleod -   Our Ref: KNL200086


"
51.48779870210802,0.08897384441173681,SE17 2ED,2253.3333333333335,2019-11-05-12-16-01,65914371,Black Katz Ltd,"78 Borough High Street, London, SE1 1LL",['https://media.rightmove.co.uk/dir/50k/49784/65914371/49784_27444_IMG_01_0001_max_656x437.jpg'],,"

Letting information:







Date available:
Now


Reduced on Rightmove: 
05 November 2019 (98 days ago)





Full description

        This simply stunning three bedroom period house has been beautifully designed and incorporates contemporary fittings with traditional features. Recently refurbished this impressive house offers a wealth of living and entertaining space, well proportioned rooms, large fully fitted kitchen, modern bathroom, a gorgeous private garden, neutral deco and stylish fittings throughout. For transport Elephant and Castle station, zone1 (Northern Line, Bakerloo Line, Overground Trains) and numerous buses only minutes away.


"
51.48680232682751,0.09405682892792074,SE17 2TH,2296.6666666666665,2019-10-28-10-27-06,66030789,Beresford Residential,"8 Camberwell Green, London, SE5 7AF","['https://media.rightmove.co.uk/dir/146k/145076/66030789/145076_145076_2173_IMG_01_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/66030789/145076_145076_2173_IMG_02_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/66030789/145076_145076_2173_IMG_03_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/66030789/145076_145076_2173_IMG_04_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/66030789/145076_145076_2173_IMG_05_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/66030789/145076_145076_2173_IMG_06_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/66030789/145076_145076_2173_IMG_07_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/66030789/145076_145076_2173_IMG_08_0002_max_656x437.jpg']",,"

Letting information:







Date available:
15/02/2020


Furnishing:
Furnished


Deposit:
£2200


Letting type:
Long term


Added on Rightmove: 
28 October 2019 (106 days ago)





Full description

        Beresford Residential are delighted to present this fantastic three double bedroom flat, situated a short walk from Kennington and Elephant and Castle undergroud stations. Located on a residential street but with easy access to all the local amenities that Walworth Road has to offer, you really do get the best of both worlds with this property.This split level flat is extremely spacious and all of the rooms are an excellent size. The property boasts double glazed windows and neutral décor throughout. The large and bright kitchen has plenty of storage space. The living room is an excellent size, boasts plenty of natural light and benefits from a good sized private balcony. A modern bathroom completes the accomodation.Please note the internal photos are of another property in the same building but the room dimensions will be the same.EPC C


"
51.489415431991404,0.09437999120564979,SE17 1DG,Infinity,2019-07-31-09-34-04,64073358,Black Katz Ltd,"78 Borough High Street, London, SE1 1LL",['https://media.rightmove.co.uk/dir/50k/49784/64073358/49784_35152_IMG_01_0001_max_656x437.jpg'],,"

Letting information:







Date available:
Now


Added on Rightmove: 
31 July 2019 (195 days ago)





Full description

        Superbly located and situated on the first floor of this very well kept ex-local authority building this three double bedroomed apartment (No reception room) is neutrally decorated throughout with wooden floors. This property comprises of three well proportioned bedrooms, separate kitchen, modern bathroom. For transport Elephant and Castle Tube and Train Station is moments away.The ever popular Walworth Road with all various amenities are also close by.


"
51.490227396537826,0.08901633443635423,SE17 1RE,2166.6666666666665,2018-05-30-10-58-10,54645579,Beresford Residential,"8 Camberwell Green, London, SE5 7AF","['https://media.rightmove.co.uk/dir/146k/145076/54645579/145076_145076_2118_IMG_01_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54645579/145076_145076_2118_IMG_02_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54645579/145076_145076_2118_IMG_03_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54645579/145076_145076_2118_IMG_04_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54645579/145076_145076_2118_IMG_05_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54645579/145076_145076_2118_IMG_06_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54645579/145076_145076_2118_IMG_07_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54645579/145076_145076_2118_IMG_08_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54645579/145076_145076_2118_IMG_09_0002_max_656x437.jpg']",,"

Letting information:







Date available:
Now


Furnishing:
Furnished


Deposit:
£3000


Letting type:
Long term


Added on Rightmove: 
30 May 2018 (622 days ago)





Full description

        Beresford Residential are delighted to offer this three bedroom flat in a central location. The flat compromises of three double bedrooms, a modern bathroom and a kitchen. The property is within walking distance to Kennington and Elephant and Castle tube stations in Zones 1 & 2 and is moments away from Walworth Road with its various amenities and several bus routes to the City and central London. Early viewings are highly recommended. Please note there is no separate living room.EPC RATING: E



More information from this agent
To view this media, please visit the on-line version of this page at www.rightmove.co.uk/property-to-rent/property-54645579.html

Brochure

"
51.4859678497071,0.10359794023250152,SE17 3SZ,2036.6666666666667,2018-05-29-13-09-16,54631536,Beresford Residential,"8 Camberwell Green, London, SE5 7AF","['https://media.rightmove.co.uk/dir/146k/145076/54631536/145076_145076_1857_IMG_01_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54631536/145076_145076_1857_IMG_02_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54631536/145076_145076_1857_IMG_03_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54631536/145076_145076_1857_IMG_04_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54631536/145076_145076_1857_IMG_05_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54631536/145076_145076_1857_IMG_06_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54631536/145076_145076_1857_IMG_07_0002_max_656x437.jpg', 'https://media.rightmove.co.uk/dir/146k/145076/54631536/145076_145076_1857_IMG_08_0002_max_656x437.jpg']",,"

Letting information:







Date available:
Now


Furnishing:
Unfurnished


Deposit:
£3000


Letting type:
Long term


Added on Rightmove: 
29 May 2018 (623 days ago)





Full description

        Beresford Residential are delighted to offer this fantastic three bedroom flat to the rental market. Situated a short walk from Kennington and Elephant and Castle underground stations and with easy access to all the local amenities that Walworth Road has to offer, you will never be short of options when eating out or exploring new bars and shops.EPC RATING: C



More information from this agent
To view this media, please visit the on-line version of this page at www.rightmove.co.uk/property-to-rent/property-54631536.html

Brochure

"
